sk_d_curso,cursoIngressoUFRJ,cursoAtual
74ea6a4ffce0cb8d3013a9978cfd9db27b906f4006c1f2e0122591ab16b81fd2,Bacharelado em Informática,Bacharelado em Ciência da Computação
dbde55e27224a8c832119eba0c54cb25a32bf6f6417dd2b3970c620d7edf7966,Bacharelado em Informática,Bacharelado em Informática
cb369a9ae66bcd4659f91ed5d88c2a7674ca54645d641a6c8c4b3285e19dfb78,Bacharelado em Informática,Licenciatura em Matemática
0367c21aa27e715610d936288c8fb811fc6dd378b050b5b1b693d0987c0c99d4,Bacharelado em Informática,Mat Aplicada - Computação Científica
5f20305be16f0143bc9a1bcc213bc104dd93a64e5ad031d2239291529461a503,Matemática,Bacharelado em Ciência da Computação
86f40cfa993381ab9a0cbfc6d13f926d18d2421c1a33fd283fd761b4472fb333,Bacharelado em Informática,Administração
3397feeb4faa725706e1bfdebf11c8b00ab43cba195dbe974d4236d0552a25e1,Bacharelado em Informática,Matemática
34459bf2545409374222c35e84de459ba2de9b784f017401cf6ad84bc63f58b5,Bacharelado em Informática,Ciências Econômicas
247f95cb22892b2d89b5f131a171574a8bc2cc45b047cf25bcb04bf099d01680,Bacharelado em Informática,Comunicação Social - Radialismo
af603cacdb775e87eaae84bd7b8964e7e4b0cbe2d06a2d8d359a1fc6ffb353b9,Estatística,Bacharelado em Ciência da Computação
21514fced868a28f2633d48761b4d9e40311e05334da0a62d2b47354ae0711e4,Engenharia Elétrica: Ênfase em Eletrônica,Bacharelado em Ciência da Computação
69f98f9a931103c9534d1881425cd98f8d9206864393258c24d8bdb0ae537d17,Bacharelado em Ciência da Computação,Bacharelado em Ciência da Computação
61a75c03382c9a00714ed2e7c8cb3436c4048e890afe50f5598fe59408fe00c6,Bacharelado em Informática,Engenharia Civil
205d7c9b8c6a5b043da85f88286a750871c9c0ba3ee69dcf1c7bacd554ea0be7,Astronomia,Bacharelado em Ciência da Computação
c65567c3e2cc3a45d9a257e2d9b748a8dbc880c7312efa09521a3b9cb7062216,Matemática Aplicada,Bacharelado em Ciência da Computação
e12a58c842ef064a3ce49f6f8bcdb17b95c433d6be147dd2e0438d178263fbc8,Bacharelado em Informática,Ciências Atuariais
85d92ff3be8e1d3d7f3834448697e56f8e65775e0bf2659efd5537ae4a072b49,Bacharelado em Ciência da Computação,Administração
42b2581e5ef23445d17a6c6995ee6de021b474b276110036904eabf718611ad4,Bacharelado em Ciência da Computação,Ciências Econômicas
ea9f4d5dcfb6f1be08bd6417f29c9c99700aa8da5ad57f6a1ebbadae0d27e12e,Bacharelado em Ciência da Computação,Licenciatura em Matemática
c711993871f5871d0bc3e29345e21483b93054498d36168d86aa06299d687be5,Engenharia Metalúrgica,Bacharelado em Ciência da Computação
342d96cfb9c80d582d5084d2576e58eff878b90069d365a8cefc45dda6459d34,Física,Bacharelado em Ciência da Computação
a39a85a942c4dd3f4e2c2496801d0e5baf903d1f65bf599a631d4d244109e419,Bacharelado em Ciência da Computação,Matemática Aplicada
ce6800f45e219ebbdc16487b9412a2c66466f5c6ef13de1ca138ba7acd83a571,Bacharelado em Ciência da Computação,Engenharia Mecânica
d13a26c7b5adab0639c7628de49c96b0851683d79fbc70a00bb1b76200c394e6,Bacharelado em Psicologia,Bacharelado em Ciência da Computação
d63f9e21e925deea8b9b5569d7af5a56807b0b3a99fa523ba0a3b21b569e328b,Escola de Química (Ciclo Básico),Bacharelado em Ciência da Computação
7902b0b4503d891e0fbdbd2bbb41fb7d72abb70a31801acc65d02905a9e937b1,Ciências Atuariais / Estatística (Básico),Bacharelado em Ciência da Computação
3c1d81e838b3ae0aed24903ac7d762a0dc8b01e9f809cc2cf1a5ef6d674b803e,Desenho Industrial - Programação Visual,Bacharelado em Ciência da Computação
a80f5dd573274667573b525e0750e7915a3bc9671900750ce6822349b05a6553,Bacharelado em Ciência da Computação,Ciência da Computação
eb55541b751cb8e367ffa8909374e02177cd94b5fe493997e1e557e7585231d1,Bacharelado em Ciência da Computação,Matemática
