sk_d_disciplina,cod_Disciplina,disciplina
26ae25e81ccc85aecdad201a410a09485d415acd4daf6e2ecadcb81bfcfebab8,MAA123,Algebra para Informatica
4ba51a95ba6087306319254f45d5ee5ad335922069282fa6d40edac875580a86,MAB111,Fund da Computação Digital
09e5060ee94ea2b9604e23295927e68d40d481a362d81ee5df6bfebde7f67b75,MAB120,Computacao para Informatica
63637e47a78400c87bb1b82da2fc5b6c00e78c0c77c779455f0053387294e9cd,MAE111,Cálculo Infinitesimal I
6f904cf605935af92e93713c9eead620c9c92cd971dfc4fd12ab852ccd8bb13d,MAE115,Cálculo Vetorial e G Analitica
fd8dee3283a38eff8b17cf2951e557882870ebb14ca5dda5bd8d624534172f59,FIT111,Física I
2461c79130f623f026b98adb94ada036e9d8c18fc4f5b5cd1620f774536a37f0,MAB241,Computacao II
de4f94b5804ebaccfa8f5d68972cfbd7693a996d28f22494cf0d156ae3d3c07b,MAB352,Matemática Combinatória
5394b622ba7dd7f0edd7a6e3e59922442e1678cd91931cd1de7010275fd41170,MAE121,Cálculo Infinitesimal II
71941cc395ed6170123b2e68ec63165aa2413cbd080f4a6294829bb6e3ee3f17,MAE125,Álgebra Linear II
3a04156996d42b930ed55f57137bf2db8026c209726bedcc8da4a0072fd84025,FIT121,Física II
bda9f2bab1bbadfd30979ee3b1078a5fced655ad7b6f5f11cc4e394eadbd19a4,MAB123,Linguagens Formais
3c0a6e1744e9883f43dcdc0a10b4b398c6c66e5520a1a1affd5b3121de657429,MAB243,Organizacao de Dados I
8f5729a7e2304ba94cd548330e91d743436987544f290cfcfe7e2d5464d59f1a,MAB245,Circuitos Lógicos
f815db806b0109c4e88871c1418e2ce76d58802cde3ce2db517e20e03d253fbd,MAB353,Computadores e Programação
a790a2f3d8c80fd7e382113da81d41fa6c1720185bf0868be3317aa6a621d49c,MAB230,Calculo Numerico p/Informatica
24fe68dd71397b411b564b2faf1db31786d3296fdea5e99daf49c3123f7a1595,MAB122,Computação Gráfica I
483e4375f58b63491c70a6e51c6c86b6d0420ef641d13c57a4ee34ba98d5cd0f,MAB354,Computadores e Sociedade
5b6323141ef883680d4b7583d24d2b226ec8b9f1e0b55d0ca0d5ec7a9bc49e2b,MAB364,Linguagens de Programação
ca97d53edc3c5d3f7990b0e8f72e79f1bc36a768d1de55c4466e88505e00e984,MAB368,Algoritmos e Grafos
2f49ad3415ebb9ec607179953d5d7d923477a6af18b3fc137f174cd62b603f2f,MAB471,Compiladores I
