sk_d_situacao_academica,situacaoMatriculaAtual
be3ad86618e4fabd94d831995dfd21367fbdf9d86482f7f021da1b415e7cd07f,Cancelada por conclusão de curso
3ca80f8447d1816b42e6b6ce78876a09ea7ad5e0ae301f4630a3b8822265db1b,Cancelada por abandono
8362ba253c1a3896ff7da3aaab2e175cb28646495c5e636fa0c43a116d21d356,Cancelada por transferência
75aeed555b3a43b6e0dddc2c40fd7475c412508eeb27d26201cf84679bde5d93,Cancelada por abandono Definitivo
27a82bbf3475a3ffcd91c78ad15adc39fff1f210596c271528800d0e3554a814,Cancelamento a pedido
8336247db87007dd0d6673c56d524eac7df89beccaa6a6555bf26051f4bb0cc9,Cancelamento por ultrapassagem do prazo máximo de trancamento
924e940f4a6c290b22e8b4a9c1d554a38cfd80b8364c023a747da2e3d23a0b45,Cancelamento por opção de curso
2919d1d61aa9bcc127530e38fc132e937b8b43d21a193837aea41499c3ca57f4,Cancelada por rendimento escolar insuficiente
5e723f9d214270c85a578cee66bfb97b78dea411c14fa33b291da7cc23f7761b,Cancelamento por conclusão de Mobilidade Acadêmica
e6ec8667d6f4052cd7f8b0691be380ed691e49c3351995d88cfaf263f803b380,Rematrícula por destrancamento ou descancelamento
d01fc610cec0ea644fb1e3ee88a57515590e0c47daa6405a13f1ada379c409be,Trancamento automático: Perigo de cancelamento imediato
0f86598b666c767a3faa26fd2486aaf23494b01ba54c4ff421889384abfdc635,Cancelada por ultrapassar prazo de integralização
11c51659935cd0024ab3229788d5e262d222f2bb52c8663d928968693610b19c,Cancelamento por opção de instituição
0a9483b9f6e1699997da19b8ad337fc79eee09b469bcaecbdca17cf0257e1b4e,Exclusão Lógica
65cb84f03d1e58898e1ea2b11194c5ff6096ad76b600de0b80f494b4e64e1bed,Ativa
82bda58cb144ca76afe2218b2aca87f026aff62f07227d836422ac7048bfc50f,Rematrícula por ativação do segmento referente via AGF
db656cf69bbccbdfda7980c6e86a0c0670f1085cdaa09fac7246345eb6ec4cf7,Trancada
7f0a7f0af4f36c072eb870b5725cf842dc14f5a268df9167093d3e4ef8cdf7b3,Trancamento Solicitado
e998058ca3c055dc39f3d6e88ddd6669a81bff0374fac6baa893ff2224fc9082,Rematrícula por destrancamento automático
031a0d76fb44bc56aa2a0f5a70e0f0f79dbd107643cff025d192ec4c2d8ab2b6,Cancelada por outros motivos
2da3fb18f3830b346db9c87911dd1e2d8c8c8cd555434975245e75c556bece7f,Cancelada por morte
