sk_d_periodo,ano,semestre,periodo
a7746158bdb1b508b198f2927a3b276bc1e6c5cb18b9eedf216908961690f7a5,2000,0,2000/0
9b9d29eed04d79ce77ca84829404b2a3e134afe4c446ef4e3a40b45c2980da13,2000,1,2000/1
4159cd8923ee497dcd22344b2ffc4a845bdce92a8c17cc94a2cb4afe6370d94c,2000,2,2000/2
5c3b237f1fdcc6bb7fc6339babd03ff44d2e2ef55a72a652ecf80516f61f9d62,2000,3,2000/3
431ad29df5c15d9af2c5dec7a61fe171703c76f6a4feb7d5467b8b966ac529be,2001,0,2001/0
1be9407b0177e3267f67a38fe9de1615d7a2e36001388671cd49e5121c9ceda2,2001,1,2001/1
2a23d074e47a3a8cdd94db54289974475f407df0c59bb3897950c680465c83f7,2001,2,2001/2
075e5a708c362441ee6287bd034e507b16a56fdf29d307c233e41056a45725f4,2001,3,2001/3
950165981ba2917af80ab3bfd297ebffb3debc97b401b059a88a59e0e6753507,2002,0,2002/0
4d4f250915e29cc56ac564b87669f320433d2bb1a229ed2a7e30ee6231ef6e05,2002,1,2002/1
28e3c20143a411aceee3f93ea5393678445432c9085706cf2c92eff957354e7d,2002,2,2002/2
e9577a1e3509df8797abd8a8c9c2145f9813675a4e3f8afedff3115ff95756f2,2002,3,2002/3
4f8e9762f3e7efe6c2769ca0dff4c16b3f66dd728fe8632d8aec0738f9c7985d,2003,0,2003/0
f9d7ccec7c000c8147eb90103dc3980f42eb0020049905041a164f314dc9f1a1,2003,1,2003/1
24371a59a1bc40623a3cdb35af5c870789f5123c6bf715aa68b087101ed1a6c4,2003,2,2003/2
1f2c6233d83badd59938ccef6284b2f824f783f1050f376b85e4dafb6db967bc,2003,3,2003/3
3124b74ba4ad8bd4301515ce042002b0739db6dae30f1b18a52002e7811180b6,2004,0,2004/0
a25526e4d1050461b80f54546be876455f444e40aad178197e96516936597384,2004,1,2004/1
7e6dd30796a3b559c3b731f66d8e09891389e8c448eacf9645ef0ccd063ec447,2004,2,2004/2
ab1174266172b0a43a96e784785fac3213ccea2a05e52647fa2d74ad41a40e5c,2004,3,2004/3
f3785eaf7226ec81e98d8b0e3f290ceb0be8ccd271c4c48b98d6e716e5a68209,2005,0,2005/0
49cd096be0d7b3716f5d04c93448d9429ca7f3c15add940ea0fb717094d7e797,2005,1,2005/1
ad209e8f41634e724648164d9664b564f0d3cd7ddabfe38a86bbd99e281de81b,2005,2,2005/2
acbb572220fed53e6f920b2a92b06d721dc4bd90a02b67121f091b7da4422705,2005,3,2005/3
1b1ad9053ea58df112c30c5cad65fc9847489d9d1c68c5f217bea837c9c089cf,2006,0,2006/0
ab7fe9a4f4c31c999d0c6f7a3656cc2d9692a086d0bda056b34ac7a54697b3b4,2006,1,2006/1
7fbaf654704927cabb4e26d8587cfccbe0bf9697ef94e4fdabdfd2daee1ade8c,2006,2,2006/2
ebbe8e5ffe1bc1a645aee12cb87b05328209f9d29b0a138d7b1b58ed6b8c252e,2006,3,2006/3
f77ebbf34be4f26a41ed25543dd51341f7076978ed73d2bd416790c2336901f2,2007,0,2007/0
932b055d485607e351134c2dab78b5c0d01a3a5c30630e7f214daddf25aadfbd,2007,1,2007/1
e3357db369315dface23ca8eeae3293fb2728b4ba0b67b52fb42f41730ca5be4,2007,2,2007/2
9e38bdaf8987a5f9ff03f36e7a522ca7bbf859693ab5bcc279c4126902bb4c4e,2007,3,2007/3
2ea67a339d386b46c53719b9ca621c63ed689cab6add096a506e591b23a06291,2008,0,2008/0
7b8b1973ae6e0edd4d8c64d11edc3209f6570d749aa3d888f923241ba225e9be,2008,1,2008/1
76f3cf6a759b1db8960ab8d4391d06db231aa88ebec4703923ecd7d1c3114a36,2008,2,2008/2
61181558adaa33dc753bc1dc10c1842193f48a0f7961beeee6c0d14afbb9a090,2008,3,2008/3
723b8b3db16f56bdb3a5baf780e0f8ebe59f13cd9b71cc9afb4aa7834acfe4dd,2009,0,2009/0
907b42ffba4f3282f096d32ac2f9d0e04a91c872177f299b3c9cd3e362440b3e,2009,1,2009/1
e040382c23bb840e73a6d164aacda1b729fbae8e0ca6caa41f235a032d5dfbfd,2009,2,2009/2
ef04e6d7853e80626174e8c6cf6c5e3961bee8356f30cbdb8974e58e28449771,2009,3,2009/3
bfea94988cc07850189ddfb244f242fb50f73e37df05406fc5e21217d132a7ce,2010,0,2010/0
6b62208c0403a5eef0c0e94e8c3bdd6964bda62af0eb73d413d2ece261c076c3,2010,1,2010/1
78ba596a4611e2f56107187247ad80435e69b9ca008562803430318636529353,2010,2,2010/2
f6cd48e8a2f7d6bcd2273273d2998bfc51044cf3f067680bdfd616c32fd64ff2,2010,3,2010/3
311a5542fafa675a3c4824b80ec443e9c7bb97c2810beef4f733ab7d8b7e381f,2011,0,2011/0
af00ff19baa5f3dd256a035daba3da66e989aa724bf3bd4bee6b78f97e5d9250,2011,1,2011/1
6aa4d8e425e255ac24c50eab3925ed6725e24f57bfae1f23baf616716dd90786,2011,2,2011/2
4f288a4036f9a81ec101744b69e0a0e47f357b88967a28f2385023554f4c2b2f,2011,3,2011/3
36f77320646e07630cb63c0692e6efb4d9dee1411bea3c509755a6097ef61764,2012,0,2012/0
157e14c3cf817fe86157aeb6e500f2db5ed9b2a65e79b886832267b887863faa,2012,1,2012/1
75c6f2fd802d302b8fba180502263a9e4d636d08bed8ebd8d1a3d8fc440f229a,2012,2,2012/2
cf139b49c632cb4c518f61c1c9c9746adfc0799f31a77db9c6c090d8d22535b5,2012,3,2012/3
5feb64c0f900ac05aeaef9539845f05c83fead9a3a011d30fc4fe0019153efdf,2013,0,2013/0
bd4ca729b9fae220048d499f7ec0983be62fd0e2dd2ac6a72e685fc855b1146c,2013,1,2013/1
1eabe661ec79f3038b8b32ef1670b2634e2b15a4bf8630e0cccc14e0c6de2cf5,2013,2,2013/2
9083cea9f292a41a201409a8f465f83e43bd1715884323ce92de64571bf681d4,2013,3,2013/3
3047ae67513d6d401d621ee45ac1049bd958e6df89d4e8925a9903610b3c0af8,2014,0,2014/0
b2f36db8a936f8061ad8468654ceb457288ea12c228a03b06544095e72e81b69,2014,1,2014/1
a931929b37429ec63d3207d7017794040e92c91e9bae26733d9b0fe7268be3a7,2014,2,2014/2
fa63b8f401cc80655ea581ade434282a74016f8eacc3426b780772987895d09c,2014,3,2014/3
d03960f2894269b253da8930942bc449af23687f18fe2f9e409fd092b686b8f7,2015,0,2015/0
a5ebcb5a2af796da2bb75cb5e5fdc8585afde0a591fb6ced6f16c983cf5e94e7,2015,1,2015/1
224c11eb2d29e47ad48c9f9f6b5ea32d4ac71e3607c11d7e0c51c17839d3789b,2015,2,2015/2
c5bbe81ec34ef504824dd082e2dc285a65da7e253610c71a95e32e39d1a7eec9,2015,3,2015/3
9c4a0921a3f0e387a53a894a5af895af4ed4ae24277b7c97326accc9cb6341a5,2016,0,2016/0
81684e276b6c3eb41e2872e5bf148226f48cdf43c5be3c9233f3c8ddef59f55a,2016,1,2016/1
39a0df8b51218e8a3d3fc9de1d7f132ab2e5d1c79ee40803b270c121f8aefba8,2016,2,2016/2
04369a384b010d3ac009d63876242352f50c8f0d34ba9bce33debb78d4f00731,2016,3,2016/3
14fa4edba9398c519e89aaafc656065e5ae6ab6f10c2eb34893cfed056c04d90,2017,0,2017/0
8a80ee7b5dadabb0ddc70d2f69bc6f899fd1048707431c2388b357a3828e66f0,2017,1,2017/1
a8608082b671dc32d0f486fdc74d98eca1d6b397f6ec5d33996fef1e76f63d57,2017,2,2017/2
58e57415021545a9ef7031dda880f0575db738eeb38c8624a6bb95c3db2cfee3,2017,3,2017/3
041363aec6f18e87a1e9573fe8582e33771a9a64d9c97fcba37ec0ac041bad0d,2018,0,2018/0
208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,2018,1,2018/1
4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,2018,2,2018/2
634e1d5ce152c92ccafeed6c68691b904b53efcc50ff5708814f277a6a5cd957,2018,3,2018/3
3169a61dbb1b246695243aab8921a686a1b4545aa178517c6db4e061f92538cc,2019,0,2019/0
3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,2019,1,2019/1
c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,2019,2,2019/2
64b32c1bfdd9ffa681ac7dc5101241cf3b696dd858e27f298cab75bef1b9280d,2019,3,2019/3
f7c2d5f35ec7e1556d6d413a3f1633b56ab1ff63959e7209146078a6198a3a47,2020,0,2020/0
94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,2020,1,2020/1
7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,2020,2,2020/2
89cb1ee37f65e20987f288b31fb186574219d219420664d225090b8d53fb2c10,2020,3,2020/3
070cecec7690ff34d5e880d3aba7d66b1a0554ea39ecc9c495a949ffad6e671a,2021,0,2021/0
450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,2021,1,2021/1
fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,2021,2,2021/2
1b33a6579934ba79993d6dfc13fe0828bfedb4e803ff4cbd15634eb555e4b4b5,2021,3,2021/3
