sk_d_aluno,sk_d_periodo,sk_d_curso,situacao_matricula,situacao_matricula_simplificada
b81ee25cb0ed43e2bf01c37eebff3311ccb78f65a8747217ebd6174e4c9cc567,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
e3a53cfa063c53747a100cbe7149417cc6bd378d7bc10849f95937675b5d8e64,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
1728e884390dbbf31e1532030ed8ae49728ac16c2d8fc8ba0d269765c0fc3900,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
17a9951b69bbb9ea942210ea461440fdd045a805e85bfafa4c793e2e7711fc4a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
3c319e54d331e2dcbd08e808e625d59bac36c56a8f7294f33c783d71f6a82983,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,Trancamento Solicitado,Trancada
a5c40cbd0b1bbf1e00100dadb6a1aef72058e6132b219ad132e514de9e9865c2,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,7628a1988964d3ebfb28f8549e9999101ed674393e3f807054726009d576cab6,Rematrícula por destrancamento ou descancelamento,Ativa
e14f4ab8b6a8eaaafbee7b1461ba8deb5b8ddab1e5054ea1076a79b3e0f2c99e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
322ab9be3c0841e811c561120f15868cbefab35ecf907bc5f74169c77b6a0fad,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
7f1ce6aa002349cfc63d07ec8b6a1b6307c346dc811eaaf15e56ce4709b684db,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,667d78e6c44f1a4fbb01b86ca737d30a0d82f41afdf5e3312bd989839deef682,Rematrícula por destrancamento ou descancelamento,Ativa
3c3a860a8bd22964d910271f0dfef1970c2cc12b59f15cf92b40c7559680912d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
962200136fdeb91d55583c5184c9c878856c0008338713e28520f589eae8e1a0,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,Trancamento Solicitado,Trancada
f6757e807f87695352be326c2c10d0dbafc1a9f9c237a76c61375afcc51df9d8,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
5006579b81ca3cbf7536defd07b7b38b27611b6cc919894df97a8601a39235f5,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,Trancamento Solicitado,Trancada
c1c5c94489da7e200f80ce05e7846dc6b29ecaf1a48c3602f48c882c897249ed,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
