sk_d_curso,codCursoIngresso,cursoIngressoUFRJ,codCursoAtual,cursoAtual
cb88287d73dd290062443cea3be8295b21be77ea3b955ade1154f66b70c468cc,3101020000,Bacharelado em Informática,3101070000,Bacharelado em Ciência da Computação
73ab696911ff64ad47fca973788059abaccde6a6e96411498b44e60c4681238d,3101020000,Bacharelado em Informática,3101020000,Bacharelado em Informática
cfb25bb897e4be000b1f85f75175f2bc4f4b3c972dbc6aab8c76514626d6cc14,3101020000,Bacharelado em Informática,3101050100,Mat Aplicada - Computação Científica
0fc958ba6d7aea682759d57f5836b7f881490b7b975dfb5c1c6d97edcdcd7f41,3101020000,Bacharelado em Informática,3101010200,Licenciatura em Matemática
18d23ee40f36af9a5cbd3ffe0e233fd62709a75b2b0ce307daf9f837c7cd5ea6,3101010100,Matemática,3101070000,Bacharelado em Ciência da Computação
b27270ba5902063792a3128f808c338789d56677556f19fd19a998278d5b7a9b,3101020000,Bacharelado em Informática,3407010000,Administração
9e7cef68e89f4cfafd0ea2b67b819268bb71a34da8e7ecacfa7e7c521e09b41a,3101020000,Bacharelado em Informática,3101010100,Matemática
f9763eae7c71b0c449baf2bc1db506d31630a20e47d828059eb3ecff7549abfd,3101020000,Bacharelado em Informática,3303010400,Comunicação Social - Radialismo
337fce91e7459f935ed6dd8f8309fcd30742125a003a952b49cfcb8ebd822530,3101020000,Bacharelado em Informática,3406010000,Ciências Econômicas
bb4e3559236520f052d4d219ff578af44017675a40e510ec561646795646ecd3,3101040000,Estatística,3101070000,Bacharelado em Ciência da Computação
6f1e0f6772b6be6e81f703f02e159447aa1d9dcec02e58485108826c0bb2095d,3601010300,Engenharia Elétrica: Ênfase em Eletrônica,3101070000,Bacharelado em Ciência da Computação
d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,3101070000,Bacharelado em Ciência da Computação,3101070000,Bacharelado em Ciência da Computação
1795624f0d7a86dad3f6fd78be77e59b9c6e63daade50bf4f1a920eaa592ab1c,3108010100,Astronomia,3101070000,Bacharelado em Ciência da Computação
