sk_d_disciplina,cod_disciplina,nome_disciplina
4ba51a95ba6087306319254f45d5ee5ad335922069282fa6d40edac875580a86,MAB111,Fund da Computação Digital
e06a0c438f2d90d5bcd5bab6dd498c4db684593c35a3d20effda3057f5aca547,MAB112,Sistemas de Informação
310f5c6e86c7e6cbe976fa5706be1805c8d1f8b59bd6ca01680db32cf942d8c9,MAB120,Computação I (CC)
dc212ebbdb548ab13c873cab49f75947c29b8332e9b5a38e36052d8c63838160,MAB624,Números Inteiros Criptografia
63637e47a78400c87bb1b82da2fc5b6c00e78c0c77c779455f0053387294e9cd,MAE111,Cálculo Infinitesimal I
1a80b254db710778a5a7610c938ba5a877503cba21e0f92baaf5dec0f65c3cc0,MAB113,Organização da Informação
2993d0e1bb6ecd5e29879451e7463a05cc6075da0e70d78b50b2d807b4199390,MAB240,Computação II (CC)
8f5729a7e2304ba94cd548330e91d743436987544f290cfcfe7e2d5464d59f1a,MAB245,Circuitos Lógicos
de4f94b5804ebaccfa8f5d68972cfbd7693a996d28f22494cf0d156ae3d3c07b,MAB352,Matemática Combinatória
c851d153fe7937986b93ab95203eba4ca75ad55285bd57dd25e014910455b1f3,MAE992,Cálculo Integ e Diferencial II
483e4375f58b63491c70a6e51c6c86b6d0420ef641d13c57a4ee34ba98d5cd0f,MAB354,Computadores e Sociedade
6ef3dfb1b07d88165f492a688d7d388d4a873e27795612125c364f4f35ef1295,MAB116,Estrutura dos Dados
de81c5356bbf5374466a3db552fbac8718abc3d03dd3bd59f58fadd3227864ca,MAB355,Arquitetura de Computadores I
78589e9f791c7a67e98b3406cde9c6a160352c2d4ca43598efd94e89f0006be6,FIW125,"Mecânica, Oscilação e Ondas"
58ae4c22500c1bf1a3dd156b6405367f685508d5a856ab8fda6979b5519d5076,MAB230,Cálculo Numérico (CC)
f1787f79ef198d2337ead7a2287c52aa6976f0fb53b38ba6296bae4a5c8f404b,MAB115,Álgebra Linear Algorítmica
bda9f2bab1bbadfd30979ee3b1078a5fced655ad7b6f5f11cc4e394eadbd19a4,MAB123,Linguagens Formais
0ab06a7ea6ce32bf8dcd0db37a5dfd4e4bf57da8a2065f3baa67e65316d30e20,MAE993,Cálculo Int e Diferencial III
6eb06967153688b4bdf3fddbf9c9002e60d0cd79638226e5b897471309ad423b,MAB489,Banco de Dados I
37ca06d401eb2e128219ab77fea977f9491326dd1ada7e462dd6071ab7d66ef3,FIW230,Eletromagnetismo e Ótica
977c66f9828c8b73e4820585c260e13e2d66dba1ab0f4cb1b98b10c60aa63301,MAB236,Lógica
f815db806b0109c4e88871c1418e2ce76d58802cde3ce2db517e20e03d253fbd,MAB353,Computadores e Programação
7d0088e71ff447c97905637ed9a41f282f353ae0038680139152fbc3f377ff2a,MAE994,Cálculo Int e Diferencial IV
2c7c683ea5e05130462fa49bdab722b2896916aca7b79b5fdf790957e0bb06c2,MAB117,Computação Concorrente
24fe68dd71397b411b564b2faf1db31786d3296fdea5e99daf49c3123f7a1595,MAB122,Computação Gráfica I
ca97d53edc3c5d3f7990b0e8f72e79f1bc36a768d1de55c4466e88505e00e984,MAB368,Algoritmos e Grafos
364dfcf52457928a33dc9a799709a07a2d41a2540ab8ef3eeb3c371880b74b49,MAB533,Fund da Engenharia de Software
d23e80bd8ec3445a9d42bbb6be4179fcb3a0fa23cfaf36f2c52975fc7a0382bf,MABX03,Monitoria I
2f49ad3415ebb9ec607179953d5d7d923477a6af18b3fc137f174cd62b603f2f,MAB471,Compiladores I
f01904d205fbc581a36e55652e55d6831fe8b3cdbdcb3f946ab4278abc4690d1,MAB519,Informática Aplicada ao Ensino
b94f2e3c271228b4550d73f47d22d378e30c48557a76f7c01d927f05563ed146,MAB527,Tópicos Esp Sist Informação
20af73d950d33c2a6de94fd2d5ca4273caf88ff2bfa8d765207d9cba89acf599,MAB534,Proj de Sistemas de Informação
a7217092047498ba173a21ff3b127b5dd84065b6ab3618980c91e5bcedc8c55c,MABX04,Monitoria II
8aab6ffe1f4a85cc4952053677d83583f29af891a27cc0b0e8fc341da6302780,MAB100,Introd Gestão Estratégica Ti
62d28f497c05d365564a3681ef8933e3ba8d388822aed39b7114ee96d7ff1e9b,MAB232,Programação Linear I
d7890450cbdbf93d0e5cf7accfae88b416923e0084e940d295a64494c89052fd,MAB616,Interface Humano-Computador
e7430ea483377d975c73b1ed9addfab5a2e9806c70345af6e8ddbc7d483104b4,MAD243,Estatística e Probabilidade
0d19d67fdde9ff3848a3ef8e302b307d23b8c4a560c19bc1e9ae83783f535a00,MAB508,Inteligência Artificial
06e690a7a257806bdfb556080f428d75b03ac6cd8dc422197cd99e9e3e4c0cd0,MAB612,Tóp Esp em Banco de Dados II
6ff06fce6ed980c8c590500c90ec66bd0477d06a6a60eb6137e112de69597464,NCG007,Introdução a Redes
869ff19045da85bf4ddb2257326685b1cfdc44404381a0a52a141db8e0b03620,MAB366,Sistemas Operacionais I
fed55eefa9268327b55be397276721b1945e9508d41f1f22d3d8dcb5d75f6290,MAB491,Banco de Dados II
196d24660e24faefb61c544b1a5052f5d882ccc6b1105d74755ef154b8c66d3d,MAB607,Empreendimento em Informática
22c1ec9cbef6638505694c30319eb2a128e4059139e2c783d3cd31071faffc30,MAB102,Trab Grand Vol Dados (Dc e Bd)
e350c3210a6c4d76329a77d71a3c761bd21b2c3dc5f1b40cdd1ff5ef7483ead2,MAB510,Teleprocessamento e Redes
12f769113c5c3e546a86a14a514096838da7d7ea4c392b109536fe3bdc7ffdc4,MABX02,Projeto Final de Curso
