sk_d_periodo,ano,semestre,periodo
fc82267b45dcbf8db9e4ec10055373cfff41efcbc5b83a304be35bd67871d710,2000,1,2000/1
29433eae6f7f1308d9799275f3a90a0afe1fef0e1818a7c7a4f0aa686493fecb,2000,2,2000/2
e4b8f2da99fd9407c758cd306f846562424ec5c38d320289f03c60b8437ed73d,2001,1,2001/1
b6167a59dbfdca3d716a326a015dd8a00f417590eb34e21f65eb430c97b9b903,2001,2,2001/2
c291fe829d40dc63fc4fa578f6208f425064945d31ca8251d2821d2b4855380f,2002,1,2002/1
c2db217ea7a34191c8f55a2acd4ac37c35611dc1946a7c0fd81e0524bc3369b1,2002,2,2002/2
5335faf37616961de2ca0d7493e78bd54539094f2fbe54cfaa66059c910b4412,2003,1,2003/1
ef0825aa83d176e856dbe4c1c8338fd0105a89cfe3caf107b556aa54406e365e,2003,2,2003/2
551f1b6da3d076f00cf0f65b0bbb08ee6e88d26efd4abf2a6ae0d37fb1edadbc,2004,1,2004/1
8d5baa326957041e61222d78ab30f209846b0a6c591c1b3e507559f478c89616,2004,2,2004/2
0de41f48bb8492eab4bd60b26b08b5cef09b5509f65981a174013da2b570d36a,2005,1,2005/1
c2e8c4d907eb354cddc82e7ae2cfeb2f4fe821c08a8c102dc748e1a9d9950d1c,2005,2,2005/2
75769823db109ec97fb1f12fa46a665d0a73079b5c893ff16be769aaf931ddc6,2006,1,2006/1
7ed6967ca706ff12a3f16ffe89128eac5f23db35b6e22e8e19585b4ab252b079,2006,2,2006/2
0eb55bc6d6f2d19b431c9c319b0f595e3d2cc988d0f9aea9c2c5eb1d308500cc,2007,1,2007/1
c8b0f0d28b77989b0224197cdd95ba9c797d1d96d60ca032e1bc11195414d79b,2007,2,2007/2
9652f0351390fbe354fe9370bc85f99e126751f682ccfdf99b663be8979354bd,2008,1,2008/1
62032de289e313ca8bfb85bdd381bed28c75689f6fd89f7b6371d62f5712eb54,2008,2,2008/2
033e5efa2816c5edb6b0b8673a7ba12a5a1a40236e3665917d29e45f948f367c,2009,1,2009/1
ed0661bd6e1c613c15349c48cc1986e69c99cac57db13ad114d8f2d625317d5e,2009,2,2009/2
b18c61c55f17af492ac0535bf17d89dfb521c9110d0cbd7640862ef006646bfc,2010,1,2010/1
b39df6b510adbc87de51b969e1b9491c3091285fde82d729944d825e38270f7f,2010,2,2010/2
fb191b5a87e994fc286b26efeef99c68ea71d461a828212df76b5515c43e8d5d,2011,1,2011/1
95f4b096690274bdd3cec9f2a44807f912a00e93adf5d1bcf5e21be88c259bd9,2011,2,2011/2
12ae265fcfe315a363b94cb06b5634257af6517781d59af94fab6a618bf70f23,2012,1,2012/1
0978b1de07e1c1994f873af80501aada90611b60f5a147dc9405516f5c8da7f4,2012,2,2012/2
d199c5cf655fc67ae5bc24ba22fd2e197e3a28f37947606d92493ef83383630d,2014,1,2014/1
e319d9b68ca50f52f6dfba34b7784ba81c72646766f52c0a809edf5254c4a773,2013,1,2013/1
9bbebbaaa8b874af4d5c1a4083cc49bfd3a98a897cd1c0f8e6297e95b705f064,2014,2,2014/2
