matriculaDRE;periodoIngressoUFRJ;cursoIngressoUFRJ;cursoAtual;periodoIngressoCursoAtual;situacaoMatriculaAtual;sexo;periodo;cr;craPorPeriodo;periodosIntegralizados;cargaHorariaAcumulada;craAual;periodosTrancados;periodosCancelados;periodosCRMenor3
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 7.6; 7.6;13;3105;6.6;;;2005/2
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 7.1; 7.4;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 5.9; 6.9;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 6.8; 6.9;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 6.3; 6.8;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 5.6; 6.6;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 7.9; 6.7;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 6.7; 6.7;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 7.8; 6.8;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/2 ; 6.2; 6.8;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/1 ; 6.3; 6.7;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/2 ; 1.8; 6.7;13;3105;6.6;;;
0;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/1 ; 6; 6.6;13;3105;6.6;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 7.6; 7.6;10;3330;6.4;;2005/1;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 6.5; 7;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 5.1; 6.4;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 6.2; 6.4;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 6.5; 6.4;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 5.7; 6.3;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 5.3; 6.1;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 6.9; 6.2;10;3330;6.4;;;
1;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 7.6; 6.4;10;3330;6.4;;;
2;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por abandono;M;2000/1 ; 3.3; 3.3;3;390;3.2;2001/2;;2001/1
2;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por abandono;M;;;;3;390;3.2;2002/1;;
2;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por abandono;M;2000/2 ; 4.7; 3.9;3;390;3.2;;;
2;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por abandono;M;2001/1 ; 0.7; 3.2;3;390;3.2;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 6.3; 6.3;17;3105;5.1;;;2001/1
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;17;3105;5.1;;;2004/2
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 5.1; 5.7;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 2.8; 4.7;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 5.9; 4.9;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 4.9; 4.9;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 5.1; 5;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 6.3; 5.1;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 7; 5.4;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 3.4; 5.2;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/2 ; 0.5; 5;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/1 ; 4.5; 4.9;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/2 ; 6.1; 5;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/1 ; 4; 4.9;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/2 ; 3.6; 4.9;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2007/1 ; 4.2; 4.8;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2007/2 ; 7.1; 5;17;3105;5.1;;;
3;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2008/1 ; 5.9; 5.1;17;3105;5.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 8.3; 8.4;10;3225;8.1;;2004/2;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 7; 7.7;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 7.2; 7.6;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 8.1; 7.7;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 8.9; 7.9;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 7.6; 7.9;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 7.9; 7.9;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 8.5; 7.9;10;3225;8.1;;;
4;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 9.2; 8.1;10;3225;8.1;;;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2000/1 ; 6.4; 6.5;7;2235;6.2;;2003/1;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2000/2 ; 4.6; 5.4;7;2235;6.2;;;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2001/1 ; 7; 6;7;2235;6.2;;;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2001/2 ; 6.3; 6.1;7;2235;6.2;;;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2002/1 ; 6.7; 6.2;7;2235;6.2;;;
5;2000/1;Bacharelado em Informática;Bacharelado em Informática;2000/1;Cancelada por transferência;F;2002/2 ; 6.5; 6.2;7;2235;6.2;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 6; 6.1;13;3180;5.8;;;2001/1
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 4.4; 5.2;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 2.8; 4.4;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 5.9; 4.7;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 6.6; 5;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 7.1; 5.4;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 6.6; 5.6;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 5.3; 5.6;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 6; 5.6;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/2 ; 4.9; 5.6;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/1 ; 7.2; 5.7;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/2 ; 7.6; 5.8;13;3180;5.8;;;
6;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/1 ; 10; 5.8;13;3180;5.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/1 ; 6.1; 6.1;20;3165;3.8;;;2003/2
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2004/1
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2004/2
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2005/1
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2005/2
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2006/1
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2006/2
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;;;;20;3165;3.8;;;2007/2
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2000/2 ; 5.4; 5.8;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/1 ; 4.4; 5.3;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2001/2 ; 6.7; 5.5;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/1 ; 3.2; 5.2;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2002/2 ; 3; 4.8;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/1 ; 3.3; 4.5;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2003/2 ; 1.6; 4.3;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/1 ; 1.7; 4;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2004/2 ; 2.1; 3.8;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/1 ; 0; 3.6;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2005/2 ; 1.6; 3.4;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/1 ; 2.9; 3.4;20;3165;3.8;;;
7;2000/1;Bacharelado em Informática;Bacharelado em Ciência da Computação;2000/1;Cancelada por conclusão de curso;M;2006/2 ; 0.8; 3.2;20;3165;3.8;;;
